SQ03,SQ04,SQ0502,SQ06,DQ02,DQ04,DQ08,DQ0801,Q010101,Q01010201,Q01010203,Q0119,Q01190100,Q0117,Q0120,Q012001,NHQ2,THQ01,THQ02,THQ03,THQ04,THQ05,THQ06,THQ07,THQ08,THQ09,THQ10,THQ11,THQ12,THQ13
98,2,29,1,1,6,8,5,1,2023,8,1, ,1600, , ,100,0,0,0,0,0,0,100,0,0,0,0,0,0
98,1,46,3,2,5,7,7,1,2024,6,1, ,2500,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
98,1,37,5,2,5,4,4,1,2024,6,1, ,1300,1, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,1,74,4,2,5,5,3,1,2024,2,1, ,2000, , ,0,0,0,0,0,0,0,0,0,0,0,0,0,0
98,1,72,15,2,7,3,3,1,2023,12,1, ,1000,1, ,100,0,0,0,0,0,0,0,0,0,100,0,0,0
98,1,66,11,2,7,5,3,1,2023,8,1, ,1600,1, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0
98,1,44,14,2,5,4,4,1,2024,6,1, ,1600,1, ,100,0,0,100,0,0,0,0,0,0,0,0,0,0
5,2,54,8,2,6,8,2,1,2023,11,5, , , ,7,600,0,0,0,0,0,200,0,100,0,0,0,0,300
98,1,45,6,2,3,3,3,1,2023,12,1, ,1300,1, ,200,0,0,0,0,100,0,100,0,0,0,0,0,0
98,1,54,8,2,5,3,3,1,2024,5,4,1,1600,1,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,58,8,2,7,5,4,1,2023,8,1, ,1600, , ,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,47,3,2,5,8,5,1,2024,1,1, ,3000,3, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0
